order_id,product_id,customer_id,quantity,price,order_date,shipping_date,payment_method,order_status
1,38,714,3,1259.65,2024-02-01,2024-02-02,PayPal,processing
2,25,1385,1,570.12,2022-06-17,2022-06-29,E-Wallet,completed
3,45,2799,2,378.09,2022-12-25,2022-12-27,Debit Card,shipped
4,25,864,1,535.61,2022-11-09,2022-11-16,PayPal,completed
5,43,590,1,351.22,2022-05-28,2022-06-01,E-Wallet,processing
6,11,2589,1,432.64,2022-01-20,2022-01-27,Debit Card,processing
7,1,2865,4,1351.59,2024-06-19,2024-06-24,PayPal,shipped
8,15,1302,2,699.45,2022-01-29,2022-02-08,Debit Card,completed
9,24,2580,2,1000.38,2024-03-30,2024-04-11,Credit Card,completed
10,20,537,2,820.34,2023-02-06,2023-02-09,E-Wallet,completed
11,19,2631,1,242.84,2024-08-26,2024-09-02,PayPal,completed
12,6,2595,1,632.69,2024-09-09,2024-09-11,E-Wallet,completed
13,46,2638,1,243.54,2022-07-21,2022-07-23,Bank Transfer,completed
14,9,767,1,454.87,2023-11-25,2023-12-03,Debit Card,completed
15,14,2908,1,360.09,2022-09-25,2022-10-02,Bank Transfer,completed
16,17,1581,3,334.2,2022-04-23,2022-05-02,Bank Transfer,completed
17,14,2539,1,344.81,2022-03-18,2022-03-24,Bank Transfer,completed
18,45,2167,1,194.88,2023-09-01,2023-09-07,E-Wallet,completed
19,16,2315,2,1049.86,2024-06-08,2024-06-14,Credit Card,completed
20,44,1494,1,397.76,2024-08-29,2024-09-06,E-Wallet,completed
21,12,214,1,205.7,2023-12-25,2023-12-30,Bank Transfer,shipped
22,32,2292,1,246.93,2023-12-12,2023-12-19,Credit Card,completed
23,30,2193,1,82.15,2022-06-13,2022-06-16,PayPal,completed
24,45,801,1,193.3,2024-01-16,2024-01-23,E-Wallet,processing
25,16,376,3,1578.14,2022-09-29,2022-10-11,Credit Card,processing
26,16,1951,1,557.09,2022-03-13,2022-03-18,PayPal,completed
27,40,962,1,523.68,2023-10-20,2023-10-22,Debit Card,completed
28,43,1134,5,1931.03,2023-10-29,2023-11-04,Credit Card,completed
29,38,1236,1,436.53,2022-09-23,2022-10-03,E-Wallet,completed
30,22,1967,1,162.03,2024-04-18,2024-04-30,Debit Card,completed
31,10,1720,2,68.29,2024-09-21,2024-09-23,Credit Card,shipped
32,26,1950,2,266.82,2024-01-06,2024-01-16,Bank Transfer,completed
33,12,819,1,222.44,2024-07-09,2024-07-10,Bank Transfer,completed
34,46,1072,1,249.81,2023-09-23,2023-10-01,Credit Card,completed
35,34,2722,1,284.45,2024-05-01,2024-05-03,Credit Card,completed
36,2,2627,1,644.08,2022-03-05,2022-03-08,E-Wallet,completed
37,20,2604,1,406.27,2024-05-04,2024-05-14,Debit Card,completed
38,25,2814,1,562.63,2022-08-17,2022-08-25,PayPal,shipped
39,1,2049,1,323.57,2023-01-24,2023-02-05,PayPal,completed
40,16,1450,1,504.21,2022-06-30,2022-07-06,Bank Transfer,completed
41,27,415,3,1219.21,2024-01-12,2024-01-16,PayPal,completed
42,22,527,1,143.1,2022-05-28,2022-06-08,PayPal,completed
43,10,1917,2,70.17,2023-11-11,2023-11-14,Debit Card,shipped
44,50,2517,1,162.1,2023-09-15,2023-09-17,PayPal,completed
45,32,2012,1,236.83,2023-05-21,2023-05-24,Debit Card,processing
46,47,1193,1,312.06,2024-04-15,2024-04-23,Bank Transfer,completed
47,47,1519,1,309.19,2023-09-10,2023-09-20,Bank Transfer,completed
48,18,2786,2,1262.37,2023-05-24,2023-05-30,Credit Card,completed
49,47,1616,2,601.41,2024-10-04,2024-10-06,E-Wallet,completed
50,32,855,1,218.72,2023-05-05,2023-05-13,Debit Card,completed
51,48,392,1,454.41,2024-03-11,2024-03-18,Credit Card,completed
52,26,1664,1,129.56,2022-12-31,2023-01-02,PayPal,shipped
53,4,1066,1,599.0,2024-09-10,2024-09-21,Credit Card,processing
54,13,767,1,299.09,2024-02-28,2024-03-10,Debit Card,shipped
55,7,2328,1,473.6,2024-08-14,2024-08-19,Credit Card,completed
56,34,1525,1,277.62,2024-01-14,2024-01-26,Credit Card,shipped
57,33,2060,1,600.95,2024-04-07,2024-04-10,Credit Card,completed
58,10,2147,2,64.86,2023-08-10,2023-08-13,PayPal,completed
59,20,754,1,398.24,2023-07-01,2023-07-05,Credit Card,completed
60,48,1328,1,474.81,2022-04-25,2022-05-06,PayPal,completed
61,49,661,1,177.32,2024-08-27,2024-09-04,Credit Card,completed
62,4,735,1,556.0,2023-04-16,2023-04-26,Credit Card,completed
63,22,710,1,160.46,2022-10-26,2022-10-28,Debit Card,shipped
64,49,2487,3,555.2,2024-02-11,2024-02-12,Debit Card,completed
65,1,173,3,988.33,2022-06-07,2022-06-15,Credit Card,completed
66,23,264,1,449.71,2023-05-20,2023-05-27,E-Wallet,processing
67,20,1622,1,383.3,2024-01-05,2024-01-07,E-Wallet,processing
68,50,1598,1,164.26,2023-01-09,2023-01-16,Debit Card,completed
69,14,2062,1,351.11,2022-10-22,2022-10-27,E-Wallet,shipped
70,9,1176,4,1661.2,2024-03-25,2024-04-05,E-Wallet,completed
71,28,1075,1,159.91,2022-12-02,2022-12-13,Bank Transfer,completed
72,7,2863,1,440.23,2022-05-07,2022-05-10,Bank Transfer,completed
73,17,1736,4,438.58,2024-09-03,2024-09-10,Bank Transfer,completed
74,43,1571,1,353.98,2022-06-21,2022-06-30,Bank Transfer,completed
75,16,648,1,543.29,2022-10-03,2022-10-06,Debit Card,processing
76,41,187,1,466.56,2023-04-03,2023-04-08,PayPal,completed
77,12,2931,2,448.99,2023-06-22,2023-07-01,Debit Card,completed
78,50,582,3,455.54,2022-08-18,2022-08-28,Debit Card,completed
79,6,2789,3,1826.3,2023-10-03,2023-10-04,Credit Card,completed
80,38,1615,1,431.03,2023-12-20,2023-12-28,Debit Card,completed
81,41,520,4,1919.07,2023-01-26,2023-01-27,Debit Card,completed
82,26,2341,3,424.28,2023-12-13,2023-12-22,Credit Card,completed
83,40,2520,1,542.29,2022-03-17,2022-03-25,PayPal,completed
84,18,298,1,591.6,2022-07-17,2022-07-19,Debit Card,processing
85,7,1603,1,448.59,2023-06-22,2023-07-04,Debit Card,shipped
86,28,2801,1,160.94,2023-03-03,2023-03-04,PayPal,completed
87,42,2812,2,219.24,2023-11-21,2023-11-22,Debit Card,completed
88,43,665,1,381.49,2023-05-15,2023-05-24,E-Wallet,processing
89,37,2717,1,655.4,2024-08-12,2024-08-23,Credit Card,completed
90,12,947,3,595.94,2022-02-24,2022-03-05,E-Wallet,shipped
91,26,711,2,284.82,2022-01-18,2022-01-19,Credit Card,shipped
92,11,2801,2,845.71,2024-05-25,2024-05-27,PayPal,completed
93,5,1609,1,575.07,2022-12-15,2022-12-17,Credit Card,completed
94,47,2794,1,319.94,2022-12-01,2022-12-09,Debit Card,cancelled
95,47,2253,1,307.66,2022-09-28,2022-10-01,Debit Card,processing
96,4,907,4,2342.2,2023-02-13,2023-02-14,Debit Card,completed
97,1,2238,1,333.77,2023-08-27,2023-09-04,Debit Card,completed
98,40,1366,1,544.24,2023-01-25,2023-02-06,PayPal,completed
99,4,2110,1,618.14,2023-02-23,2023-03-06,Credit Card,processing
100,34,401,1,301.88,2022-06-14,2022-06-18,Debit Card,completed
101,16,2971,1,525.2,2023-02-23,2023-02-26,PayPal,completed
102,26,1265,1,123.88,2023-05-15,2023-05-17,Bank Transfer,completed
103,43,2901,1,383.51,2024-07-11,2024-07-20,E-Wallet,shipped
104,10,651,3,98.87,2024-02-06,2024-02-18,PayPal,completed
105,22,576,1,154.31,2023-09-27,2023-10-06,E-Wallet,completed
106,10,23,2,69.12,2022-04-27,2022-05-01,PayPal,cancelled
107,15,239,2,699.8,2024-07-30,2024-08-07,Bank Transfer,completed
108,34,1094,1,314.44,2022-07-07,2022-07-15,Credit Card,completed
109,34,2021,1,295.5,2023-08-23,2023-08-29,E-Wallet,completed
110,11,1432,1,448.74,2024-05-06,2024-05-07,PayPal,completed
111,35,1139,1,433.86,2023-10-26,2023-11-07,PayPal,completed
112,40,2277,5,2557.34,2022-03-19,2022-03-31,PayPal,completed
113,21,1869,1,638.27,2023-06-27,2023-07-06,Bank Transfer,completed
114,17,2310,2,234.83,2024-03-16,2024-03-27,Credit Card,completed
115,34,7,1,315.16,2024-01-08,2024-01-20,Bank Transfer,completed
116,18,985,1,570.15,2022-10-21,2022-10-27,PayPal,completed
117,4,877,3,1692.25,2022-07-20,2022-07-23,PayPal,completed
118,20,1996,2,806.57,2023-05-12,2023-05-17,Bank Transfer,completed
119,34,2257,1,299.84,2023-08-17,2023-08-28,Credit Card,completed
120,25,1732,2,1117.84,2024-09-11,2024-09-14,Debit Card,cancelled
121,48,1158,2,879.54,2023-11-30,2023-12-04,Debit Card,completed
122,6,1890,2,1210.81,2022-02-11,2022-02-19,PayPal,processing
123,8,1014,4,2669.16,2023-08-04,2023-08-15,Bank Transfer,shipped
124,5,2263,1,601.48,2022-12-11,2022-12-14,Debit Card,completed
125,25,1344,3,1673.65,2024-03-14,2024-03-24,Credit Card,completed
126,45,563,2,376.96,2022-12-27,2023-01-08,Debit Card,completed
127,16,1302,2,1087.75,2024-07-03,2024-07-06,Credit Card,completed
128,50,2908,3,482.05,2024-05-20,2024-05-22,PayPal,completed
129,6,892,3,1924.13,2022-10-07,2022-10-11,Bank Transfer,completed
130,37,118,1,664.54,2022-09-12,2022-09-23,E-Wallet,completed
131,23,734,2,851.2,2022-06-05,2022-06-12,PayPal,completed
132,22,2171,1,157.17,2022-08-06,2022-08-13,Debit Card,completed
133,47,595,1,293.38,2022-04-21,2022-04-25,Bank Transfer,shipped
134,45,347,3,529.69,2023-05-03,2023-05-08,E-Wallet,completed
135,33,1404,1,627.03,2022-07-21,2022-08-01,Debit Card,completed
136,21,1371,1,652.92,2024-09-19,2024-09-29,Debit Card,completed
137,11,1545,2,867.56,2024-02-01,2024-02-09,Bank Transfer,completed
138,41,1078,1,451.33,2022-05-13,2022-05-18,E-Wallet,shipped
139,46,2134,1,243.0,2024-07-13,2024-07-16,Credit Card,completed
140,50,517,2,329.85,2023-12-23,2023-12-25,PayPal,completed
141,50,1819,1,152.88,2024-04-23,2024-04-28,Credit Card,shipped
142,28,1462,3,538.78,2023-06-07,2023-06-10,Credit Card,completed
143,30,233,1,89.43,2024-06-02,2024-06-13,PayPal,processing
144,40,1037,2,967.06,2023-07-25,2023-07-27,Bank Transfer,completed
145,18,423,1,619.58,2023-02-15,2023-02-19,Bank Transfer,processing
146,34,967,1,288.9,2023-04-29,2023-05-03,E-Wallet,completed
147,21,1765,1,678.73,2022-02-08,2022-02-18,Credit Card,processing
148,30,247,1,81.94,2024-09-09,2024-09-10,E-Wallet,shipped
149,40,1806,2,1025.59,2022-05-25,2022-06-04,Credit Card,completed
150,16,1892,1,544.36,2022-12-16,2022-12-21,E-Wallet,completed
151,42,851,1,118.66,2024-02-06,2024-02-07,Debit Card,completed
152,20,914,3,1127.63,2023-08-29,2023-08-30,Bank Transfer,shipped
153,38,1785,1,451.0,2023-01-05,2023-01-11,E-Wallet,completed
154,18,56,4,2475.2,2023-07-01,2023-07-03,Debit Card,completed
155,28,728,1,157.25,2024-08-04,2024-08-07,E-Wallet,shipped
156,40,2631,4,1962.34,2023-04-09,2023-04-20,Credit Card,processing
157,4,273,1,629.41,2024-05-19,2024-05-30,Debit Card,shipped
158,4,1511,1,612.27,2024-01-03,2024-01-06,PayPal,completed
159,26,2904,3,425.1,2023-04-18,2023-04-21,Credit Card,completed
160,8,320,2,1241.68,2023-02-23,2023-02-25,Credit Card,completed
161,10,657,1,33.64,2023-09-12,2023-09-18,E-Wallet,completed
162,22,1519,1,156.98,2024-09-10,2024-09-12,PayPal,completed
163,24,1505,1,537.76,2022-09-11,2022-09-18,Credit Card,completed
164,31,2390,4,714.32,2024-08-28,2024-09-05,E-Wallet,completed
165,19,297,4,1024.66,2024-04-29,2024-05-04,PayPal,processing
166,5,1121,5,3077.28,2022-02-01,2022-02-10,Credit Card,completed
167,24,1133,1,524.59,2023-10-23,2023-11-03,Debit Card,completed
168,43,2333,1,345.8,2022-12-19,2022-12-20,Credit Card,completed
169,40,1040,1,497.92,2022-01-12,2022-01-14,PayPal,completed
170,2,986,1,623.2,2023-04-08,2023-04-12,Bank Transfer,completed
171,48,2932,1,467.63,2022-10-22,2022-10-28,Bank Transfer,completed
172,1,1371,1,320.97,2022-08-27,2022-09-03,Bank Transfer,completed
173,14,1475,3,1092.75,2022-05-16,2022-05-17,PayPal,completed
174,48,2221,2,957.78,2023-12-29,2024-01-02,Credit Card,completed
175,33,2088,1,648.33,2023-08-16,2023-08-21,E-Wallet,processing
176,10,2175,1,32.63,2023-11-22,2023-12-04,Debit Card,processing
177,21,1955,1,605.09,2022-04-12,2022-04-17,E-Wallet,completed
178,42,2667,4,447.88,2022-02-18,2022-02-24,PayPal,processing
179,40,968,1,493.06,2023-09-15,2023-09-17,Debit Card,completed
180,7,1203,2,962.21,2024-10-15,2024-10-18,Debit Card,completed
181,28,2495,2,328.15,2022-08-16,2022-08-17,E-Wallet,shipped
182,34,2691,1,286.17,2024-09-03,2024-09-09,Credit Card,completed
183,40,2576,4,2128.56,2023-05-01,2023-05-10,Credit Card,completed
184,9,174,1,439.99,2023-01-11,2023-01-23,Bank Transfer,shipped
185,26,1678,1,140.19,2022-04-21,2022-04-26,E-Wallet,completed
186,12,2264,1,221.32,2023-02-13,2023-02-16,Bank Transfer,completed
187,21,658,2,1364.81,2024-06-17,2024-06-28,Credit Card,completed
188,29,262,2,45.53,2024-01-06,2024-01-14,E-Wallet,shipped
189,2,1050,1,653.68,2023-03-20,2023-03-23,Debit Card,processing
190,16,2366,3,1644.1,2022-11-11,2022-11-15,PayPal,completed
