transaction_id,order_id,customer_id,product_id,transaction_date,quantity,unit_price,discount,total_amount,payment_type,sales_channel
1,13539,2221,23,2022-03-13,1,445.15,0.05,422.89,Cash,online
2,8707,413,43,2024-01-22,3,352.98,0.13,921.28,Cash,marketplace
3,10978,929,33,2023-10-03,1,578.33,0.09,526.28,Bank Transfer,partner
4,7342,2145,40,2024-03-22,2,485.28,0.02,951.15,Bank Transfer,store
5,2518,1167,40,2022-12-11,3,485.56,0.11,1296.45,Bank Transfer,online
6,,986,3,2023-07-10,1,582.1,0.15,494.79,Bank Transfer,online
7,1542,2321,17,2022-07-05,1,115.98,0.03,112.5,Cash,marketplace
8,1730,2291,40,2023-10-18,1,549.31,0.09,499.87,Bank Transfer,online
9,,2365,7,2023-02-25,1,455.17,0.12,400.55,Bank Transfer,partner
10,13145,1385,5,2023-01-02,1,568.32,0.1,511.49,Bank Transfer,store
11,,847,37,2022-11-17,1,633.81,0.0,633.81,E-Wallet,marketplace
12,4968,23,39,2023-10-21,1,473.65,0.0,473.65,Card,store
13,2453,137,46,2023-05-19,1,243.54,0.01,241.1,Cash,marketplace
14,11724,2370,19,2022-04-28,1,249.13,0.0,249.13,Bank Transfer,store
15,7621,1701,13,2023-01-09,1,303.85,0.08,279.54,Bank Transfer,store
16,1765,1897,34,2024-10-10,1,292.22,0.03,283.45,E-Wallet,online
17,2066,418,3,2023-08-12,1,583.5,0.0,583.5,Cash,online
18,8847,2842,25,2023-05-23,1,604.99,0.0,604.99,Card,marketplace
19,2880,2013,33,2023-09-26,1,611.22,0.0,611.22,Card,marketplace
20,,2118,18,2023-06-01,1,591.36,0.03,573.62,Cash,marketplace
21,10123,773,29,2024-02-08,1,21.0,0.0,21.0,Bank Transfer,marketplace
22,4184,2597,26,2024-07-02,1,139.99,0.07,130.19,Cash,partner
23,12458,1312,47,2022-04-11,1,335.61,0.0,335.61,E-Wallet,partner
24,9885,1006,11,2023-08-04,1,414.08,0.0,414.08,Bank Transfer,store
25,4816,1752,3,2024-07-13,1,574.55,0.0,574.55,Cash,partner
