ticket_id,customer_id,subject,priority,status,created_date,resolved_date,assigned_to
1,246,payment issue,low,pending,2024-06-01,2024-06-09,David Johnson
2,2457,payment issue,high,resolved,2022-05-06,,Arjun Iyer
3,933,refund request,low,in progress,2022-06-30,2022-07-19,Hua Chen
4,2518,delivery delay,high,closed,2022-04-02,2022-04-30,Tao Chen
5,398,damaged item,low,open,2022-05-13,2022-05-20,Ling Mei
6,2207,refund request,low,in progress,2024-05-14,2024-06-06,Tao Ming
7,1164,delivery delay,medium,open,2022-08-13,2022-08-27,Siti Hassan
8,567,damaged item,low,pending,2022-10-20,2022-10-20,Laura Brown
9,1964,refund request,medium,open,2024-01-09,,David Johnson
10,729,refund request,high,closed,2022-08-07,,Jia Ming
11,2344,delivery delay,medium,open,2023-02-08,2023-03-06,Tao Mei
12,2854,delivery delay,high,closed,2022-06-17,2022-07-04,Arjun Nair
13,60,delivery delay,high,pending,2023-11-12,2023-11-23,Aminah Razak
14,2377,refund request,high,resolved,2023-02-11,2023-02-19,Zul Abdullah
15,2112,account issue,medium,closed,2023-01-05,,Sarah Brown
16,688,delivery delay,low,closed,2024-09-17,,Zul Abdullah
17,329,account issue,low,pending,2022-06-28,2022-07-25,Sarah Davis
18,1077,payment issue,low,pending,2024-04-05,,Jia Xiao
19,2541,damaged item,low,resolved,2024-09-23,2024-10-23,Priya Kaur
20,509,refund request,high,pending,2024-09-06,2024-09-11,Arjun Singh
21,1640,refund request,low,closed,2022-05-06,,Ahmad Razak
22,1712,delivery delay,low,resolved,2024-07-09,,Michael Davis
23,204,damaged item,medium,pending,2022-09-22,2022-09-29,Tao Chen
24,1103,account issue,medium,resolved,2022-11-28,2022-12-19,John Smith
25,592,delivery delay,medium,in progress,2023-01-01,2023-01-04,Hafiz Ismail
26,1240,payment issue,low,open,2022-04-07,2022-05-07,Nor Abdullah
27,1083,delivery delay,medium,resolved,2022-06-02,,Hafiz Rahman
28,536,damaged item,,resolved,2023-07-11,,Ahmad Razak
29,2657,refund request,medium,in progress,2022-09-24,2022-10-13,Hafiz Ismail
30,555,delivery delay,medium,in progress,2023-05-14,2023-05-30,Tao Chen
31,2649,refund request,medium,pending,2023-08-30,,Ahmad Rahman
32,702,payment issue,high,closed,2023-07-04,2023-07-07,Aminah Razak
33,2435,account issue,low,resolved,2024-09-07,2024-09-28,Hafiz Ismail
34,2283,delivery delay,medium,pending,2024-05-12,2024-05-27,David Johnson
35,2664,account issue,low,in progress,2024-01-02,2024-01-20,Nor Rahman
36,2773,payment issue,low,open,2022-10-18,2022-11-12,Sarah Brown
